Cycle	Cumulative Occupancy

0	1000.0
1	2690.0
2	5100.0
3	8310.0
4	12200.0
5	17630.0
6	24270.0
7	32240.0
8	41530.0
9	52050.0
10	64950.0
11	79400.0
12	95620.0
13	113450.0
14	132970.0
15	154550.0
16	178030.0
17	203280.0
18	229680.0
19	257440.0
20	287580.0
21	319420.0
22	352780.0
23	387510.0
24	423350.0
25	460710.0
26	499620.0
27	539390.0
28	580500.0
29	622430.0
30	666700.0
31	712640.0
32	759830.0
33	807940.0
34	857050.0
35	907750.0
36	959280.0
37	1012170.0
38	1065540.0
39	1119600.0
40	1174490.0
41	1230120.0
42	1286560.0
43	1343410.0
44	1400100.0
45	1458190.0
46	1517500.0
47	1577430.0
48	1638010.0
49	1699250.0
50	1761580.0
51	1824870.0
52	1889020.0
53	1953590.0
54	2018390.0
55	2084460.0
56	2151000.0
57	2218390.0
58	2286490.0
59	2354590.0
60	2423360.0
61	2492940.0
62	2563110.0
63	2633630.0
64	2704050.0
65	2775340.0
66	2846610.0
67	2918530.0
68	2990000.0
69	3061530.0
70	3133820.0
71	3206670.0
72	3278970.0
73	3350880.0
74	3422860.0
75	3495890.0
76	3569350.0
77	3642560.0
78	3715160.0
79	3787110.0
80	3860060.0
81	3932730.0
82	4005130.0
83	4077700.0
84	4149710.0
85	4221810.0
86	4294020.0
87	4366050.0
88	4437620.0
89	4508210.0
90	4578720.0
91	4649190.0
92	4719510.0
93	4789340.0
94	4858610.0
95	4928400.0
96	4998280.0
97	5067500.0
98	5136100.0
99	5204290.0
100	5272830.0
101	5341480.0
102	5409520.0
103	5476840.0
104	5543720.0
105	5611120.0
106	5678440.0
107	5745590.0
108	5813020.0
109	5880220.0
110	5947100.0
111	6013610.0
112	6080080.0
113	6146400.0
114	6212340.0
115	6277750.0
116	6342800.0
117	6407090.0
118	6471310.0
119	6534820.0
120	6597890.0
121	6660860.0
122	6723260.0
123	6785170.0
124	6846490.0
125	6908020.0
126	6969570.0
127	7030170.0
128	7090740.0
129	7150520.0
130	7209490.0
131	7268110.0
132	7325740.0
133	7382800.0
134	7439850.0
135	7495990.0
136	7551940.0
137	7607080.0
138	7661490.0
139	7715640.0
140	7769670.0
141	7823450.0
142	7876480.0
143	7928690.0
144	7980210.0
145	8031310.0
146	8082210.0
147	8133210.0
148	8183830.0
149	8233730.0
150	8283120.0
151	8331970.0
152	8380560.0
153	8428590.0
154	8475940.0
155	8522720.0
156	8569210.0
157	8615790.0
158	8661970.0
159	8707570.0
160	8753010.0
161	8797500.0
162	8841250.0
163	8884800.0
164	8927760.0
165	8970660.0
166	9012660.0
167	9053910.0
168	9094940.0
169	9135250.0
170	9175230.0
171	9214570.0
172	9253180.0
173	9291100.0
174	9328750.0
175	9366630.0
176	9403660.0
177	9439930.0
178	9475070.0
179	9509790.0
180	9544110.0
181	9577570.0
182	9610710.0
183	9643200.0
184	9675370.0
185	9707150.0
186	9738810.0
187	9769770.0
188	9800130.0
189	9830130.0
190	9859660.0
191	9888830.0
192	9917860.0
193	9946150.0
194	9973950.0
195	1.000228E7
196	1.003013E7
197	1.00576E7
198	1.008476E7
199	1.01113E7
200	1.013752E7
201	1.016325E7
202	1.018855E7
203	1.021341E7
204	1.023779E7
205	1.026214E7
206	1.028595E7
207	1.030898E7
208	1.033153E7
209	1.035357E7
210	1.037578E7
211	1.039776E7
212	1.04195E7
213	1.044096E7
214	1.046194E7
215	1.048256E7
216	1.050246E7
217	1.052191E7
218	1.054107E7
219	1.056001E7
220	1.057883E7
221	1.059721E7
222	1.061519E7
223	1.063278E7
224	1.065003E7
225	1.066717E7
226	1.068376E7
227	1.070024E7
228	1.071611E7
229	1.073164E7
230	1.074676E7
231	1.076155E7
232	1.077608E7
233	1.079023E7
234	1.080406E7
235	1.08178E7
236	1.083134E7
237	1.084471E7
238	1.085793E7
239	1.08711E7
240	1.088407E7
241	1.08969E7
242	1.090967E7
243	1.092226E7
244	1.093442E7
245	1.094643E7
246	1.095832E7
247	1.097003E7
248	1.098135E7
249	1.099237E7
250	1.100295E7
251	1.101329E7
252	1.102329E7
253	1.103318E7
254	1.104291E7
255	1.105233E7
256	1.106133E7
257	1.107001E7
258	1.107858E7
259	1.108692E7
260	1.109508E7
261	1.110302E7
262	1.111073E7
263	1.111821E7
264	1.112545E7
265	1.113263E7
266	1.113955E7
267	1.114632E7
268	1.115298E7
269	1.115945E7
270	1.116583E7
271	1.117203E7
272	1.117802E7
273	1.118396E7
274	1.118972E7
275	1.119543E7
276	1.120102E7
277	1.120647E7
278	1.121175E7
279	1.121698E7
280	1.122221E7
281	1.122735E7
282	1.123244E7
283	1.123718E7
284	1.124169E7
285	1.124601E7
286	1.125017E7
287	1.12543E7
288	1.125818E7
289	1.126189E7
290	1.126547E7
291	1.126888E7
292	1.127223E7
293	1.127554E7
294	1.12788E7
295	1.128197E7
296	1.128506E7
297	1.128799E7
298	1.129092E7
299	1.129381E7
300	1.129666E7
301	1.129934E7
302	1.130201E7
303	1.130454E7
304	1.130704E7
305	1.130944E7
306	1.131183E7
307	1.131419E7
308	1.131654E7
309	1.131888E7
310	1.132114E7
311	1.132337E7
312	1.132548E7
313	1.132752E7
314	1.13295E7
315	1.133138E7
316	1.133321E7
317	1.133501E7
318	1.133678E7
319	1.133852E7
320	1.134025E7
321	1.134198E7
322	1.134371E7
323	1.134544E7
324	1.134706E7
325	1.134866E7
326	1.135026E7
327	1.135185E7
328	1.135344E7
329	1.135503E7
330	1.135659E7
331	1.135809E7
332	1.135946E7
333	1.136082E7
334	1.136218E7
335	1.136351E7
336	1.136483E7
337	1.136608E7
338	1.136731E7
339	1.136853E7
340	1.136975E7
341	1.137095E7
342	1.137215E7
343	1.137334E7
344	1.137453E7
345	1.13757E7
346	1.137674E7
347	1.137778E7
348	1.137882E7
349	1.137982E7
350	1.13808E7
351	1.138175E7
352	1.138266E7
353	1.138357E7
354	1.138447E7
355	1.138536E7
356	1.138625E7
357	1.138713E7
358	1.138799E7
359	1.138879E7
360	1.138949E7
361	1.139015E7
362	1.139075E7
363	1.139135E7
364	1.139195E7
365	1.139255E7
366	1.139314E7
367	1.139371E7
368	1.139427E7
369	1.139483E7
370	1.139537E7
371	1.139591E7
372	1.139644E7
373	1.139697E7
374	1.13975E7
375	1.139803E7
376	1.139856E7
377	1.139908E7
378	1.13996E7
379	1.140009E7
380	1.140058E7
381	1.140107E7
382	1.140156E7
383	1.140205E7
384	1.140254E7
385	1.140302E7
386	1.14035E7
387	1.140398E7
388	1.140446E7
389	1.140487E7
390	1.140524E7
391	1.140556E7
392	1.140588E7
393	1.140616E7
394	1.140644E7
395	1.140672E7
396	1.1407E7
